Unnamed: 0,Risk Code,Risk Description,Control Code,Control Name,Control Description,Key,통제 주기,통제 유형,Auto,관련 정책,System,테스트 방법,Unnamed: 13,Unnamed: 14,Unnamed: 15,모집단 정의,"모집단
완전성 확인",모집단 개수,"샘플
사이즈",테스트 절차,오류의 정의
,R-11,취약한 패스워드 정책이나 보안 설정으로 인해 시스템 접근 통제를 우회할 위험,APD10,OS 패스워드,"OS 패스워드는 회사의 규정에 따라 최소자리, 복잡성 등을 설정한다",Y,기타,예방,Auto,IT정책서,,,V,,V,패스워드 설정사항,자동통제임에 따라 모집단의 완전성을 정의하지 않음,자동통제이므로 해당사항 없음.,자동통제이므로 해당사항 없음.,"1. OS서버 또는 OS 접근제어 Tool에 설정된 패스워드를 확인하여 아래 기준으로 설정되어 있는지 여부를 검토한다. 
 1) 복잡성: 문자, 숫자, 특수문자 포함
 2) 최소 길이: 8자리 이상","OS 패스워드 환경설정이 아래 기준을 충족하지 않은 경우
 1) 복잡성: 문자, 숫자, 특수문자 포함
 2) 최소 길이: 8자리 이상
 3) 변경주기: 분기(3개월)"
,R-12,인가받지 않은 OS 접근으로 인하여 운영서버 상의 프로그램이 부적절하게 변경 될 위험,APD11,OS 관리자 권한 제한,OS Super User 권한은 지정된 인원으로 제한한다,Y,기타,예방,Auto,,,,V,,,OS 관리자 List,자동통제임에 따라 모집단의 완전성을 정의하지 않음,자동통제이므로 해당사항 없음.,자동통제이므로 해당사항 없음.,"1. OS 또는 OS 접근제어 Tool에서 슈퍼권한자 목록을 확인함
2. 해당 권한을 보유한 인원의 부서, 직책, 직무 등을 검토하여 적절성 여부를 확인한다.",1. 지정된 담당자 외 Super User 권한을 보유한 사용자가 존재하는 경우
,R-13,인가받지 않은 DB 접근으로 인하여 기본적인 거래정보나 마스터 마스터 데이터가 부적절하게 변경 될 위험,APD12,DB 접근권한 승인,DB에 접근권한은 적절한 승인권자의 승인을 득한 후 부여한다,Y,필요시,예방,Manual,IT정책서,,,V,,,"DB 접근권한 부여 이력

- 접근제어툴 미사용시
SELECT username,
       account_status,
       created,
       default_tablespace,
       temporary_tablespace
  FROM dba_users
 WHERE created BETWEEN TO_DATE('2025-08-01', 'YYYY-MM-DD')
                   AND TO_DATE('2025-08-26', 'YYYY-MM-DD')
 ORDER BY created;","1. 시스템의 DB 또는 DB접근제어툴에서 계정생성이력 테이블 또는 화면을 식별함

2. 해당 테이블 또는 화면의 이력조회 Parameter에 아래의 조건을 입력함으로써 모집단의 완전성을 확보함
 - 계정생성 일자 : 테스트 대상기간
 - 조회대상 : 시스템 DB",Event driven,Event driven,"1. DB 또는 DB 접근제어 Tool에서 테스트 기간 동안 신규 부여된 접근권한 목록을 조회하고, 조회화면 및 조회 결과를 문서화함 
2. 위의 1.에서 조회된 모집단의 발생빈도에 따라 샘플 Guide의 샘플 수를 적용하여 샘플을 선정함
3. 샘플에 대하여 적절한 승인권자의 승인을 득하였는지 여부를 확인함","1. 계정생성 요청서가 작성되지 않은 경우
2. 승인권자의 승인 없이 신규계정이 생성된 경우"
,R-14,취약한 패스워드 정책이나 보안 설정으로 인해 시스템 접근 통제를 우회할 위험,APD13,DB 패스워드,"DB 패스워드는 회사의 규정에 따라 최소자리, 복잡성 등을 설정한다",Y,기타,예방,Auto,IT정책서,,,V,,V,"DB 패스워드 설정사항
-- 현재 사용자/계정별 패스워드 정책
SELECT username,
       profile,
       account_status,
       expiry_date
  FROM dba_users;

-- 프로필별 비밀번호 정책
SELECT profile,
       resource_name,
       limit
  FROM dba_profiles
 WHERE resource_name IN (
       'PASSWORD_LIFE_TIME', 
       'PASSWORD_GRACE_TIME', 
       'PASSWORD_REUSE_MAX', 
       'PASSWORD_REUSE_TIME', 
       'FAILED_LOGIN_ATTEMPTS', 
       'PASSWORD_VERIFY_FUNCTION'
 );",자동통제임에 따라 모집단의 완전성을 정의하지 않음,자동통제이므로 해당사항 없음.,자동통제이므로 해당사항 없음.,"1. DB의 패스워드 정책을 확인하여 아래 기준으로 설정되어 있는지 여부를 검토함. 
 1) 복잡성: 문자, 숫자, 특수문자 포함
 2) 최소 길이: 8자리 이상","DB 패스워드 환경설정이 아래 기준을 충족하지 않은 경우
 1) 복잡성: 문자, 숫자, 특수문자 포함
 2) 최소 길이: 8자리 이상
 3) 변경주기: 분기(3개월)"
,R-15,인가받지 않은 DB 접근으로 인하여 기본적인 거래정보나 마스터 마스터 데이터가 부적절하게 변경 될 위험,APD14,DB 관리자 권한 제한,DB Super User 권한은 지정된 인원으로 제한한다,Y,기타,예방,Auto,,,,V,,,"DB 관리자 권한 List
SELECT grantee AS username
  FROM dba_role_privs
 WHERE granted_role = 'DBA';",자동통제임에 따라 모집단의 완전성을 정의하지 않음,자동통제이므로 해당사항 없음.,자동통제이므로 해당사항 없음.,"1. DBSafer 권한 정책을 확인하여 ERP plus DB Super User 권한자 목록을 확인함
2. ERP plus DB Suer User 권한이 지정된 담당자에게만 부여되어 있는지 여부를 검토함",1. 지정된 담당자 외 Super User 권한을 보유한 사용자가 존재하는 경우
,R-16,"승인 또는 테스트 절차 없이 수행된 시스템 설정 변경, 프로그램변경 그리고 배치 프로세스 변경이 주요 거래정보를 왜곡 할 위험",PC01,프로그램 변경 승인,프로그램 변경 필요시 변경요청서를 작성하고 요청부서장 등 책임자의 승인을 득한다,Y,필요시,예방,Manual,IT정책서,SAP,,V,,,프로그램 변경 이력,,Event driven,Event driven,"프로그램 변경 요청에 대해 SR(Service Request)의 작성/승인 완료 여부를 검토한다

  1. 모집단에서 샘플을 추출한다
  2. 샘플건이 SR의 작성 및 승인권자(요청 부서장)의 승인 여부를 확인한다
  3. SR 작성/승인 이후 프로그램 이관이 수행되었는지 확인한다
    - SR 작성/승인 완료 일자 < 프로그램 이관 일자","1. 프로그램 변경요청서가 작성되지 않은 경우
2. 승인권자의 승인 없이 프로그램 변경이 수행된 경우
3. 프로그램 변경 요청 내역과 실제 변경 내역이 일치하지 않는 경우"
,R-17,"승인 또는 테스트 절차 없이 수행된 시스템 설정 변경, 프로그램변경 그리고 배치 프로세스 변경이 주요 거래정보를 왜곡 할 위험",PC02,프로그램 변경 사용자 테스트,프로그램 변경 후 요청자에 의한 사용자인수테스트가 수행되며 결과는 문서화된다,Y,필요시,예방,Manual,,SAP,,V,,,프로그램 변경 이력,,Event driven,Event driven,"프로그램 변경(개발) 완료 후 테스트 통제에 대해 사용자 테스트 결과서 작성 여부를 검토한다

  1. 모집단에서 샘플을 추출한다
  2. 샘플건이 프로그램 변경(개발) 완료 후 사용자 테스트가 수행되었고 결과의 문서화 여부를 확인한다
  3. 사용자 테스트 완료 이후 프로그램 이관이 수행되었는지 확인한다
    - 사용자 테스트 완료 일자 < 프로그램 이관 일자","1. 프로그램 변경에 대하여 요청서가 작성되지 않은 경우
2. 승인권자의 승인 없이 프로그램 변경이 수행된 경우
3.  운영환경 이관 전 프로그램 변경에 대한 테스트가 수행되지 않거나 결과가 문서화되지 않는 경우"
,R-18,"승인 또는 테스트 절차 없이 수행된 시스템 설정 변경, 프로그램변경 그리고 배치 프로세스 변경이 주요 거래정보를 왜곡 할 위험",PC03,프로그램 변경 이관 승인,개발완료 후 개발자는 이관을 요청하고 IT팀장 등 책임자의 승인을 득한다,Y,분기별,적발,Manual,IT정책서,SAP,,V,,,프로그램 배포이력 검토 보고 건,,4,2,"프로그램 이관 요청/승인 통제에 대해 이관 요청서의 작성/승인 완료 여부를 검토한다

  1. 모집단에서 샘플을 추출한다
  2. 샘플건이 프로그램 변경(개발) 완료 후 이관 요청서가 작성되었고 승인권자(IT운영팀장)의 승인 여부를 확인한다
  3. 이관 요청 및 승인 완료 후 프로그램 이관이 수행되었는지 확인한다
    - 이관 요청/승인 완료 일자 < 프로그램 이관 일자","1. 프로그램 배포이력 검토 보고 기안이 작성되지 않은 경우
2. ""ERP 파일 업로드"" 툴에서 테스트기간 동안 이관된 프로그램 목록을 조회(영업모듈, 생산모듈, 회계모듈 모두 조회)한 내역과 검토 내역과 일치하지 않은 경우
3.  경영정보 팀장의 승인을 득하지 않는 경우"
,R-19,"승인 또는 테스트 절차 없이 수행된 시스템 설정 변경, 프로그램변경 그리고 배치 프로세스 변경이 주요 거래정보를 왜곡 할 위험",PC04,개발/운영 환경의 분리,개발과 운영 환경은 논리적으로 분리되어 있다,Y,기타,예방,Auto,,SAP,,V,,,자동통제임에 따라 모집단을 정의하지 않음,,자동통제이므로 해당사항 없음.,자동통제이므로 해당사항 없음.,"1. 개발/운영 환경 구성을 확인함
2. ""exGate 관리자"" 도구에서 ERP plus 운영서버(""SKERP"")의 IP 정보를 확인함
3. 접근통제툴에서 개발환경 IP 정보를 확인함","1. 시스템 개발/테스트, 운영 서버가 분리되어 있지 않은 경우"
,R-20,"승인 또는 테스트 절차 없이 수행된 시스템 설정 변경, 프로그램변경 그리고 배치 프로세스 변경이 주요 거래정보를 왜곡 할 위험",PC05,이관담당자 권한 제한,이관담당자과 개발담당자는 직무상 분리되어 있으며 시스템 권한도 분리되어 있다,Y,기타,예방,Auto,,SAP,,V,,,자동통제임에 따라 모집단을 정의하지 않음,,자동통제이므로 해당사항 없음.,자동통제이므로 해당사항 없음.,"1. 개발/운영 환경 구성을 확인함
2. ""exGate 관리자"" 도구에서 ERP plus 운영서버(""SKERP"")의 IP 정보를 확인함
3. 접근통제툴에서 개발환경 IP 정보를 확인함","1. 시스템 개발/테스트, 운영 서버가 분리되어 있지 않은 경우"
,R-21,인가받지 않은 OS/DB 변경으로 인하여 운영서버 상의 프로그램이 부적절하게 변경 될 위험,PC06,OS 설정변경,OS 설정변경시 적절한 승인권자의 승인을 득한다,Y,필요시,예방,Manual,IT정책서,,,V,,,테스트 대상 기간 중 수행된 OS/DB 변경이력(업데이트/패치 이력),"1. 회사는 정책에 따라 요청서를 작성하여 적절한 승인을 득한 건에 대해서만 OS/DB 변경을 수행함
 
 2. In-scope 시스템 OS/DB에서 OS/DB 변경이력조회 Parameter에 아래의 조건을 입력함으로써 모집단의 완전성을 확보함
  - 작업일자 : 테스트 대상 기간",Event driven,Event driven,"1. In-scope 시스템 OS/DB의 변경이력(업데이트/패치 이력)을 아래 조건으로 추출함
  - 작업일자 : 테스트 대상 기간
 
 2. 조회 된 건수의 빈도에 따라 샘플 Guide의 샘플 수를 적용하여 무작위로 샘플링 함
 
 3. 샘플로 선정된 건에 대하여 적절한 근거가 존재하는지 확인함
  - OS/DB 변경(업데이트/패치 이력)에 대한 요청 및 승인
  - 변경(업데이트/패치 이력) 건에 대한 테스트 결과","1. Infra 변경에 대한 작업 요청이 존재하지 않는 경우
 
2. Infra 변경에 대한 적절한 담당자의 승인이 존재하지 않는 경우"
,R-22,인가받지 않은 OS/DB 변경으로 인하여 운영서버 상의 프로그램이 부적절하게 변경 될 위험,PC07,DB 설정변경,DB 설정변경시 적절한 승인권자의 승인을 득한다,Y,필요시,예방,Manual,IT정책서,,,V,,,테스트 대상 기간 중 수행된 OS/DB 변경이력(업데이트/패치 이력),"1. 회사는 정책에 따라 요청서를 작성하여 적절한 승인을 득한 건에 대해서만 OS/DB 변경을 수행함
 
 2. In-scope 시스템 OS/DB에서 OS/DB 변경이력조회 Parameter에 아래의 조건을 입력함으로써 모집단의 완전성을 확보함
  - 작업일자 : 테스트 대상 기간",Event driven,Event driven,"1. In-scope 시스템 OS/DB의 변경이력(업데이트/패치 이력)을 아래 조건으로 추출함
  - 작업일자 : 테스트 대상 기간
 
 2. 조회 된 건수의 빈도에 따라 샘플 Guide의 샘플 수를 적용하여 무작위로 샘플링 함
 
 3. 샘플로 선정된 건에 대하여 적절한 근거가 존재하는지 확인함
  - OS/DB 변경(업데이트/패치 이력)에 대한 요청 및 승인
  - 변경(업데이트/패치 이력) 건에 대한 테스트 결과","1. Infra 변경에 대한 작업 요청이 존재하지 않는 경우
 
2. Infra 변경에 대한 적절한 담당자의 승인이 존재하지 않는 경우"
,R-23,"배치 프로세스가 부적절하게 변경되거나, 수동 개입 되거나, 실패할 위험",CO01,Batch Schedule 등록/변경 요청 및 승인,새로운 배치 작업 등록 시 요청서를 작성하고 IT팀장 등 책임자의 승인을 득한다,Y,필요시,예방,Manual,IT정책서,SAP,,V,,,"Batch Schedule 등록/변경 이력
SELECT A.JOBNAME, A.JOBCOUNT, A.CREDATE, A.CRETIME, A.SDLUNAME, B.PERIODIC, B.NEXTDATE, B.NEXTTIME
  FROM TBTCO A
  INNER JOIN TBTCS B
    ON A.JOBNAME = B.JOBNAME
   AND A.JOBCOUNT = B.JOBCOUNT
 WHERE A.CREDATE BETWEEN 감사기간시작일' AND 감사기간종료일","1. 시스템에서 아래의 조건으로 Batch job 등록/변경이력을 추출함으로써 모집단의 신뢰성을 득함
- 대상 : 신규/변경/삭제
- 배치등록/변경일자 : 테스트 대상 기간",Event Driven,Event Driven,"1. Batch 작업 목록 중 아래 조건의 배치 등록/변경 이력을 추출함
2. 조회 된 건수의 빈도에 따라 샘플 Guide의 샘플 수를 적용하여 무작위로 샘플링 함
3. 샘플로 선정된 Batch 작업 건에 대하여 하기 사항을 확인함
 - 샘플로 선정된 Batch에 대한 IT 시스템 설정 변경 승인서
 - Batch 등록, 변경에 대한 승인권자의 승인 여부
 - Batch 등록 결과가 요청상의 내용과 동일한지 여부","1. Batch 작업에 대한 요청서가 작성되지 않은 경우
2. 배치 작업에 대하여 적절한 승인이 존재하지 않는 경우
3. 승인을 득하기 전이나 요청내용과 다른 작업이 이루어진 경우"
,R-24,"배치 프로세스가 부적절하게 변경되거나, 수동 개입 되거나, 실패할 위험",CO02,Batch Schedule 등록/변경 권한 제한,Batch Schedule 등록/변경 권한은 지정된 담당자로 제한된다,Y,기타,예방,Auto,,SAP,,V,,,자동통제임에 따라 모집단을 정의하지 않음,,자동통제이므로 해당사항 없음.,자동통제이므로 해당사항 없음.,"1. Batch Schedule 등록 쿼리에서 SDLUNAME 컬럼을 확인함
- 해당 컬럼의 데이터가 Batch Schedule을 등록한 인원임
2. 해당 인원의 부서, 직급, 직무 등을 검토하여 적절한 인원인지 확인함",1. 지정된 담당자 이외 사용자에게 Batch job 등록/변경 권한이 부여되어 있는 경우
,R-23,"배치 프로세스가 부적절하게 변경되거나, 수동 개입 되거나, 실패할 위험",CO03,Batch Schedule 모니터링,Batch 오류는 담당자가 인식할 수 있어야 하며 오류 내역 및 조치결과가 문서화된다,Y,주별,적발,Manual,,SAP,,V,,,Batch Schedule 모니터링 결과서,일별 통제이므로 52건의 검토 및 보고내역이 완전한 것으로 판단됨,52,5,"1. IT 주간점검보고 5건에 대하여 하기 사항을 확인함
 - 주별 Batch 모니터링 수행 여부
 - 점검 결과에 대한 문서화 여부
 - 이상 건 식별 시, 해당 건에 대한 조치 완료 여부 및 결과 문서화 여부
 - 모니터링 결과에 대한 보고 여부","1. Batch 실패 내역에 대한 적시 조치를 수행하지 않거나 해당 내용을 문서화 하지 않는 경우
2. 해당 조치 내역을 보고하지 않는 경우"
,R-24,"거래 데이터가 삭제었을 때(시스템 오류등으로 인해), 복구되지 않거나, 복구 되더라도 데이터가 손상되거나 중복 생성 될 위험",CO04,백업 모니터링,"주기적으로 백업 및 복구가 수행되고, 백업미디어는 소산보관된다",Y,주별,적발,Manual,,공통,,V,,,백업 모니터링 결과서,주별 통제이므로 52건의 검토 및 보고내역이 완전한 것으로 판단됨,52,5,"1. IT 주간점검보고 5건에 대하여 하기 사항을 확인함
 - 주별 백업 모니터링 수행 여부
 - 점검 결과에 대한 문서화 여부
 - 이상 건 식별 시, 해당 건에 대한 조치 완료 여부 및 결과 문서화 여부
 - 모니터링 결과에 대한 보고 여부","1. 백업이 완전하게 수행되지 않거나 실패 후 적시에 조치 되지 않는 경우
2. 백업 실패 내역에 대해 조치 내역을 기재하지 않았거나 백업 결과를 문서화하지 않은 경우
3. 백업결과에 대한 보고 및 승인 절차가 존재하지 않는 경우"
,R-25,시스템 운영 중 발생한 오류가 적시에 해결되지 않을 위험,CO05,장애 관리,복구절차의 효과성을 정기적으로 테스트하기 위한 절차가 존재한다,Y,월별,적발,Manual,,공통,,V,,,장애 발생 이력,통제 수행자와 독립적인 제3의 업체로부터 모집단을 수령함으로써 모집단의 완전성을 확보함,12,2,"1. 서버유지보수업체로부터 매월 보고 받는 월간 보고서를 입수함
2. 시스템 오류와 관련하여 원인, 해결방안, 재방방지 대책이 문서화 되었는지 여부를 검토함
3. 작성된 장애보고서가 IT부서장에게 보고 되었는지 여부를 확인함 ","1. 시스템 운영장애가 문서화되지 않은 경우
2. 시스템 운영장애가 IT부서장에게 보고되지 않은 경우"
,R-26,"IT 시설, 장비, 자원에 승인되지 않은 접근이 발생 할 위험",CO06,데이터센터 접근 제한,외부 인원의 데이터 센터 출입시 방문일지를 작성하고 서버담당자의 동행하에 출입한다,Y,분기별,예방,Manual,,공통,,V,,,데이터센터 출입이력 검토내역,분기별 통제이므로 4건의 검토 및 보고내역이 완전한 것으로 판단됨,4,2,"1. 분기 통제이므로 데이터센터 출입이력 검토 내역 중 임의의 샘플을 무작위로 샘플링함

2. 샘플 건에 대해서 하기 사항을 확인함
 - 데이터센터 출입이력 검토내역에 주요 서버실 포함 여부
 - 출입인원에 대한 적절한 검토 여부 (특정인원 출입빈도 / 사유파악 등)
 - 출입이력 검토내역에 대한 IT부서장의 승인 여부","1. 데이터 센터 출입이력에 대한 검토가 이루어지지 않은 경우
2. 데이터 센터 출입이력 검토 범위가 적절하지 않거나, 출입에 대한 사유가 절적하게 문서화 되어 있지 않거나, 검토 내역에 대한 IT부서장의 승인을 득하지 않은 경우"
